response_id,apprentice_id,question_id,submitted_response,time_of_response
'1dd35514-39a8-4310-a154-105317fb8f2a',1001,'1a86cfbd-2c3c-4d9f-97f7-657b13e1a256',,'2024-01-15 10:15:32'
'44c724bb-0c8d-4d44-8ea9-59c106b368a4',1001,'54df868f-7625-4c88-98da-481f81c46c03','<p>The support from my employer is excellent!</p>','2024-01-16 14:45:21'
'5905d0b5-ef5a-4e69-891f-5ecaa37d1ae2',1002,'b023cb54-7eaa-4d77-92ae-cc7bda0e1f34','<p>The content is quite challenging,'2024-01-10 09:30:45'
'67d8c62e-0579-4a89-86b5-e77b9d24c75c',1002,'91c636cb-2a1a-4bf3-a51c-2a5d74d74d72','<p>I feel adequately prepared for assessments.</p>','2024-01-08 13:20:10'
'825c3a90-8a2a-4c7c-b647-76a62de490d3',1003,'2ac91e56-05a2-4b03-8f4b-00df14f0a110','<p>No</p>','2024-01-10 11:10:55'
'937db005-2c7d-477d-8104-988f019af585',1003,'c8f8be3a-96dd-4772-9e8d-8447a93cb5ef','<p>The apprenticeship has positively impacted my daily activities.</p>','2024-01-11 15:55:30'
'ac97d97b-cfe4-44b0-a468-0dd4be2a1e6e',1014,'34988b4d-0a9f-46b7-9163-ea99286dace1','<p>Very likely to recommend an apprenticeship.</p>','2024-01-05 08:40:12'
'b3d39a8d-94c2-4cd2-a98b-2ad6eb9da007',1004,'132c8a68-0a42-40f3-8e57-8e557d5f8e6c','<p>The reason for my recommendation is the excellent support.</p>','2024-01-06 12:30:28'
'c1d27a1e-9997-4094-9ce3-776ef5668393',1005,'6d18c4b4-e82b-43cd-845b-e59d8c8c677f',,'2024-01-12 09:15:40'
'dcd5c95d-e2b1-4a9a-9d20-7da4cbf13674',1005,'973bc1f7-d228-49fe-83f8-6ef77b321059','<p>The apprenticeship contributed significantly to my personal development.</p>','2024-01-11 13:05:55'
'9fbb6d89-5f3a-48f2-843c-17aa887d1072',1006,'cfb8a5f7-62a4-4e8b-922b-9cf09a1355a0','<p>How well did the apprenticeship enhance your technical skills?</p>','2024-01-10 14:20:42'
'0d8e6e07-7f89-4a64-b6c3-6ff7f8d51358',1017,'ca87c3d9-f8b1-4f74-aabb-dc0b1a0e7af3','<p>Quite satisfied with team collaboration.</p>','2024-01-02 09:45:30'
'1473aee2-6edc-4b7c-9855-667432c1b51b',1008,'23e5d7c9-282e-4c9f-b204-86cb94613c22','<p>The alignment of my job role with the skills learned is excellent.</p>','2024-01-03 14:20:18'
'19c7279a-e163-4a50-94a3-1a2a868d7c93',1009,'1e55d5f4-ebba-4b36-9b2f-cc68ed7c5ff5',<p>guidance was highly effective.</p>','2024-01-05 08:10:42'
'1d2b098f-78e2-4534-8af2-545e9d14f3c6',1010,'4ed00f01-0df1-4464-9de8-071f58c78a3e','<p>Definitely recommend this apprenticeship for professional development.</p>','2024-01-06 12:35:29'
'2a60eae1-33e5-4b72-8bb2-354e19b58ff2',1007,'c672e541-27ab-497d-8f02-82a8c93bf422','<p>Team projects were highly beneficial to my learning.</p>','2024-01-07 10:15:45'
'2c7c99c4-497e-4a29-a8db-2e98a194b740',1008,'18b00a9b-83ed-46c5-bdba-b2b99d90204b',,'2024-01-08 13:50:20'
'3b6b49a1-5e55-4eb9-ba1a-7e01d12a21a5',1009,'23e5d7c9-282e-4c9f-b204-86cb94613c22','<p>My job role aligns well with the apprenticeship skills.</p>','2024-01-09 09:30:38'
'3c801b37-d01d-4a23-bf12-7e86cc22d24e',1010,'1e55d5f4-ebba-4b36-9b2f-cc68ed7c5ff5','<p>Mentorship program could benefit from more structured sessions.</p>','2024-01-10 14:15:55'
'4a4ae7c2-5c98-4e7e-8b5f-8b319cbf3e0b',1007,'ca87c3d9-f8b1-4f74-aabb-dc0b1a0e7af3','<p>Collaborative projects were essential to understanding the course material.</p>','2024-01-12 11:40:32'
'4b2aa224-0125-4172-89db-9a6bb17a217d',1030,'18b00a9b-83ed-46c5-bdba-b2b99d90204b','<p>Additional skills in teamwork can be covered in the apprenticeship.</p>','2024-01-13 15:20:18'
'4c0d2c10-cc85-4db7-8cb6-4de431462a5e',1019,'1e55d5f4-ebba-4b36-9b2f-cc68ed7c5ff5',<p>Mentor was instrumental in my apprenticeship journey.</p>','2024-01-14 08:05:42'
'548a2d8b-488c-471a-b14e-d348755f019e',1021,'4ed00f01-0df1-4464-9de8-071f58c78a3e','<p>Definitely recommend this apprenticeship for professional development.</p>','2024-01-15 12:30:29'
'56c7b52a-bdc6-4e87-aae1-d363d3a17a10',1027,'c672e541-27ab-497d-8f02-82a8c93bf422','<p>Team projects enhanced my learning experience significantly.</p>','2024-01-16 10:10:45'
'59b57c82-4688-42f8-b0f3-9fe46c8b064c',1018,'23e5d7c9-282e-4c9f-b204-86cb94613c22','<p>Alignment of my job role with the apprenticeship skills is satisfactory.</p>','2024-01-17 13:45:20'
'5bc3e43b-85c2-4514-bcd2-df7d665e226c',1009,'1e55d5f4-ebba-4b36-9b2f-cc68ed7c5ff5',<p>Mentor guidance was effective in clarifying concepts.</p>','2024-01-01 12:13:13'
