response_id,apprentice_id,question_type,question_id,submitted_response,time_of_response
1,1001,text,101,Yes,15/11/2023 09:25
2,1001,text,102,Somewhat Satisfied,25/11/2023 09:27
3,1002,text,103,Very Challenging,12/04/2023 09:35
4,1002,text,104,Yes,15/11/2023 09:40
5,1003,text,105,Yes,01/01/2023 09:45
6,1003,text,106,Significant,10/06/2023 09:50
7,1004,text,107,9,17/12/2023 09:55
8,1004,text,108,Excellent Training Programs,02/02/2023 10:00
9,1005,text,109,Yes,10/10/2023 10:05
10,1005,text,110,Very Much,03/09/2023 10:10
11,1006,text,111,Satisfied,15/01/2022 10:15
12,1006,text,112,Moderate,12/11/2022 10:20
13,1007,text,113,Quite Satisfied,21/07/2023 10:25
14,1007,text,114,Yes,20/08/2023 10:30
15,1008,text,115,Moderately Aligned,14/05/2023 10:35
16,1008,text,116,More coverage on soft skills,02/01/2023 10:40
17,1009,text,117,7,15/01/2023 10:45
18,1009,text,118,More structured mentorship sessions,26/04/2023 10:50
19,1010,text,119,Considerable impact on career goals,29/04/2023 10:55
20,1010,text,120,Definitely recommend for professional development,06/06/2023 11:00
21,1011,text,101,Yes,06/08/2023 11:05
22,1011,text,102,Satisfied,11/09/2023 11:10
23,1012,text,103,Challenging,13/08/2023 11:15
24,1012,text,104,Yes,19/01/2023 11:20
25,1013,text,105,No,18/03/2023 11:25
26,1013,text,106,Minimal,30/04/2023 11:30
27,1014,text,107,8,26/05/2023 11:35
28,1014,text,108,Good Learning Resources,05/05/2023 11:40
29,1015,text,109,Yes,24/08/2023 11:45
30,1015,text,110,Somewhat,17/11/2022 11:50
31,1016,text,111,Very Satisfied,10/06/2023 12:00
32,1016,text,112,Highly Effective,09/09/2023 12:05
33,1017,text,113,Extremely Satisfied,10/09/2023 12:05
34,1017,text,114,Yes,01/11/2023 12:15
35,1018,text,115,Well Aligned,21/06/2023 12:20
36,1018,text,116,Adequate coverage of skills,23/10/2023 12:25
37,1019,text,117,5,27/03/2023 12:30
38,1019,text,118,More interactive mentorship sessions,16/03/2023 12:35
39,1020,text,119,Significant impact on career goals,15/04/2023 12:40
40,1020,text,120,Definitely recommend for professional growth,10/01/2024 12:45
41,1021,text,101,No,12/01/2024 12:50
42,1021,text,102,Neutral,10/01/2024 12:55
43,1022,text,103,Moderately Challenging,03/01/2024 13:00
44,1022,text,104,No,06/01/2024 13:05
45,1023,text,105,Yes,16/01/2024 13:10
46,1023,text,106,Considerable impact,10/01/2024 13:15
47,1024,text,107,6,11/01/2024 13:20
48,1024,text,108,Average Learning Resources,08/01/2023 13:25
49,1025,text,109,No,09/01/2023 13:30
50,1025,text,110,Not at all,01/01/2024 13:35
51,1026,text,111,Neutral,01/01/2024 13:40
52,1026,text,112,Fairly Effective,12/01/2024 13:45
53,1027,text,113,Slightly Satisfied,12/01/2024 13:50
54,1027,text,114,No,07/01/2024 13:55
55,1028,text,115,Misaligned,09/01/2024 14:00
56,1028,text,116,Insufficient coverage of skills,10/01/2024 14:05
57,1029,text,117,3,11/01/2024 14:10
58,1029,text,118,More formal mentorship structure,14/01/2024 14:15
59,1030,text,119,Negligible impact on career goals,01/01/2024 14:20
60,1030,text,120,Not likely to recommend for professional growth,02/01/2024 14:25
61,1001,single_choice_select,131,4,15/02/2023 08:45
62,1002,single_choice_select,131,5,10/05/2023 14:20
63,1003,single_choice_select,131,4,21/08/2023 17:55
64,1004,single_choice_select,131,4,02/04/2023 10:40
65,1005,single_choice_select,131,3,28/09/2023 09:15
66,1006,single_choice_select,131,2,25/06/2023 12:30
67,1007,single_choice_select,131,3,14/11/2023 18:05
68,1008,single_choice_select,131,3,07/03/2023 11:20
69,1009,single_choice_select,131,5,19/07/2023 15:50
70,1010,single_choice_select,131,1,05/12/2023 08:10
